id,title
0,interactive visual exploration of neighbor based patterns in data streams
1,autodomainmine a graphical data mining system for process optimization
2,anipqo almost non intrusive parametric query optimization for nonlinear cost functions
3,relational division four algorithms and their performance
4,selection and ranking of text from highly imperfect transcripts for retrieval of video content
5,conditional random fields for multi agent reinforcement learning
6,simplifying xml schema effortless handling of nondeterministic regular expressions
7,multi dimensional description logics
8,funbase a function based information management system
9,inverted matrix efficient discovery of frequent items in large datasets in the context of interactive mining
10,fast on line index construction by geometric partitioning
11,computational aspects of covering in dominance graphs
12,reasoning about rings
13,feaspar   a feature structure parser learning to parse spoken language
14,transductive regression piloted by inter manifold relations
15,a fast and usually linear algorithm for global flow analysis
16,conditional constraint satisfaction logical foundations and complexity
17,on the role of old information in generating readable text a psychological and computational definition of old and new information in the nosvo system
18,assessing the scenic route measuring the value of search trails in web logs
19,shrinkage estimator generalizations of proximal support vector machines
20,webanywhere enabling a screen reading interface for the web on any computer
21,a multilingual paradigm for automatic verb classification
22,approximate query answering in locally closed databases
23,constraints on strong generative power
24,non standard semantics for the method of temporal arguments
25,mining correlated bursty topic patterns from coordinated text streams
26,learning markov logic network structure via hypergraph lifting
27,compact convex upper bound iteration for approximate pomdp planning
28,free ordered cug on chemical abstract machine
29,controlling interference in ambients
30,exsearch a novel vertical search engine for online barter business
31,query evaluation and progression in aol knowledge bases
32,cryptanalytic attacks on pseudorandom number generators
33,threshold concepts in computer science do they exist and are they useful
34,self taught clustering
35,recommendation method for extending subscription periods
36,nonexistence of voting rules that are usually hard to manipulate
37,teaching operating systems the windows case
38,using node merging to enhance graph coloring
39,learning to identify reduced passive verb phrases with a shallow parser
40,combining classifiers in text categorization
41,theoretical and practical tools for data base design
42,on multi view active learning and the combination with semi supervised learning
43,goal directed site independent recommendations from passive observations
44,towards modeling threaded discussions using induced ontology knowledge
45,text and image retrieval in cheshire ii demonstration abstract
46,generating comparative summaries of contradictory opinions in text
47,csbots design and deployment of a robot designed for the cs1 classroom
48,the revival transformation
49,new techniques for open vocabulary spoken document retrieval
50,jointly labeling multiple sequences a factorial hmm approach
51,development of a modern opac from revtolc to marian
52,quality of service transferred to information retrieval the adaptive information retrieval system
53,evaluating topic models for information retrieval
54,generalized memory manipulating actions for parsing natural language
55,on the semantics of the relational data model
56,an assessment and comparison of common software cost estimation modeling techniques
57,a combinator based compiler for a functional language
58,adaptive relevance feedback in information retrieval
59,fast logistic regression for text categorization with variable length n grams
60,scratch for budding computer scientists
61,attitude emergence   an effective interpretation scheme for persuasive discourse
62,automatic generation of dag parallelism
63,perception concepts and language road and ipage
64,threshold query optimization for uncertain data
65,helicopter routing for maintaining remote sites in alaska using a genetic algorithm
66,object class definition by generalization using upward inheritance
67,towards a functional architecture for intelligence based on generic information processing tasks
68,feature engineering for mobile sms spam filtering
